Vendor/Supplier,Amount Paid
11400 Inc,"66,948"
365 Interpreting Services,"166,206"
4Imprint Inc,"44,335"
5Starr Enterprise LLC,"189,000"
AASA,"50,000"
ABDO Publishing Company,"40,649"
ACCO Brands Corporation,"26,081"
Accredited Lock and Door Hardware Co,"34,107"
AccuLine Enterprises Inc,"65,580"
Acer Service Corporation,"200,629"
Acme Paper & Supply Co Inc,"964,113"
ADT Commercial LLC,"132,271"
ADTEK Engineers Inc,"42,800"
Adventist HealthCare Inc,"1,899,230"
Adventist Healthcare Urgent Care Centers Inc,"87,945"
Adventist Rehabilitation Hospital of Maryland Inc,"197,657"
Adventures by Dawn LLC,"35,352"
Aireco Supply Inc,"115,383"
Alan Tye & Associates LC,"54,125"
Alban Engineering Inc,"69,495"
All American Protective Services LLC,"42,111"
Allied Rentals Inc,"438,456"
Allsafe Elevator Inspections LLC,"61,983"
ALTA IT Services LLC,"84,744"
Amber Enterprises Inc,"991,022"
AMDA Distributors,"34,796"
American Air Filter Company Inc,"211,316"
American Design Associates Inc,"242,891"
American Environmental Enterprises Inc,"5,787,129"
American Medical Staffing,"592,253"
American Tennis Courts Inc,"1,052,499"
American Truck & Bus Inc,"17,300,791"
"Amplify Education, Inc.","126,183"
Anchin Block & Anchin LLP,"148,664"
Anne Arundel Fire Inspection Inc,"324,669"
AON Consulting Inc,"253,416"
Apex Companies LLC,"172,569"
"APNT, Inc","26,140"
Apple & Eve LLC,"78,254"
Apple Inc,"514,506"
Applications Software Technology LLC,"1,697,554"
Applied Acoustical Sciences Inc,"169,398"
Aries Building Systems LLC,"1,069,900"
Ark Systems Inc,"49,934"
"Ascend Learning Holdings, LLC","78,368"
"Associated Catholic Charities, Inc.","334,031"
Associated Professional Rehabilitation Services Inc,"434,628"
AT&T,"65,600"
AT&T Mobility II LLC,"390,588"
Atlantech Online Inc,"973,765"
Audubon Naturalist Society of the Central Atlantic States Inc,"33,670"
"Automatic Nursing Care Services, Inc","116,865"
Automotive Support Services Inc,"88,275"
Avant Assessment LLC,"35,316"
AZ Holdco LLC,"34,170"
Aztech Datasystems Inc,"90,652"
B & H Foto & Electronics Corp,"203,499"
B&B Concepts Inc,"210,877"
"B. W. Wilson Paper Company, Inc.","320,843"
Banc of America Public Capital Corp,"33,459,816"
Barbara Ann Tolker,"27,314"
BARCO Enterprises Inc,"37,236"
Barfresh Corporation Inc,"136,046"
"Barnes & Noble Booksellers, Inc.","220,748"
Bates Trucking Company Inc,"870,629"
Bay Associates Group Inc,"46,980"
Be GLAD LLC,"68,000"
Bell TechLogix Inc,"2,777,052"
Beltway International LLC,"132,895"
Benchmark Education Company LLC,"3,569,278"
Benedictine School,"875,213"
BGE,"566,488"
Blackboard Inc.,"382,959"
Blick Art Materials LLC,"53,512"
Board of Child Care of the United Methodist Church Inc,"147,759"
Board of Education of Baltimore County,"50,784"
Board Of Education Prince George's,"37,706"
Bob McCloskey Agency LLC,"48,024"
Bobs Overhead Door Repair & Service Inc,"113,451"
Boiler & Furnace Cleaners Inc,"268,936"
Boland Trane Services Inc,"937,975"
Bowings & Huber LLC,"186,906"
Bowman Sales & Equipment Inc,"109,198"
Boxx Modular Inc,"30,462"
Briggs Chaney Walk in Clinic LLC,"31,940"
Brightly Software Inc,"190,425"
BrightView Holdings Inc,"203,827"
Brinjac Engineering Inc,"31,750"
Brook Lane Health Services Inc,"1,988,183"
BSOFT LLC,"51,660"
Buch Construction Inc,"1,400,802"
Buenos Amigos Daycare,"28,222"
Building Dynamics LLC,"146,764"
Bunn LLC,"51,335"
"Burdette, Koehler, Murphy & Associates Inc","38,692"
Burmax Company Inc,"38,411"
Bus Patrol America LLC,"6,367,169"
Business Software Inc,"33,336"
Busy Service Inc,"49,273"
