fiscal_year,agency_name,payee_name,payee_cleaned,payee_zip,amount
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,365 INTERPRETING SERVICES,365 INTERPRETING SERVICES,20874,66479
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,AASA,AASA,22314,25000
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,ABDO PUBLISHING COMPANY,ABDO PUBLISHING COMPANY,55439,74784
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,ACCREDITED LOCK AND DOOR HARDWARE CO,ACCREDITED LOCK AND DOOR HARDWARE CO,07096,77919
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,ACCULINE ENTERPRISES INC,ACCULINE ENTERPRISES INC,20851,39480
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,ACER AMERICA CORPORATION,ACER AMERICA CORPORATION,95112,36147
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,ACER SERVICE CORPORATION,ACER SERVICE CORPORATION,95110,225413
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,ACME PAPER & SUPPLY CO INC,ACME PAPER & SUPPLY CO INC,20763,771850
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,ACT INC,ACT INC,52243,87366
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,ADVENTIST HEALTHCARE URGENT CARE CENTERS INC,ADVENTIST HEALTHCARE URGENT CARE CENTERS INC,21264,106400
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,ADVENTIST REHABILITATION HOSPITAL OF MARYLAND INC,ADVENTIST REHABILITATION HOSPITAL OF MARYLAND INC,20850,87880
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,AIRECO SUPPLY INC,AIRECO SUPPLY INC,20763,18344
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,AIRECO SUPPLY INC,AIRECO SUPPLY INC,21093,16202
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,AKJ WHOLESALE LLC,AKJ WHOLESALE LLC,21227,225204
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,ALAN TYE & ASSOCIATES LC,ALAN TYE & ASSOCIATES LC,22031,53942
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,ALBAN ENGINEERING INC,ALBAN ENGINEERING INC,21030,51979
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,ALL AMERICAN PROTECTIVE SERVICES LLC,ALL AMERICAN PROTECTIVE SERVICES LLC,20855,277816
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,ALL DAY MEDICAL CARE CLINIC,ALL DAY MEDICAL CARE CLINIC,20877,30812
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,ALTA IT SERVICES LLC,ALTA IT SERVICES LLC,15264,46284
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,AMBER ENTERPRISES INC,AMBER ENTERPRISES INC,20740,255000
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,AMERICAN AIR FILTER COMPANY INC,AMERICAN AIR FILTER COMPANY INC,21224,378021
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,AMERICAN DESIGN ASSOCIATES INC,AMERICAN DESIGN ASSOCIATES INC,21234,313747
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,AMERICAN ENVIRONMENTAL ENTERPRISES INC,AMERICAN ENVIRONMENTAL ENTERPRISES INC,19342,35262
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,AMERICAN TENNIS COURTS INC,AMERICAN TENNIS COURTS INC,21222,1489132
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,AMERICAN TRUCK & BUS INC,AMERICAN TRUCK & BUS INC,21401,17531894
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,AMERIGAS PROPANE LP,AMERIGAS PROPANE LP,15250,46033
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,AMPLIFY EDUCATION INC,AMPLIFY EDUCATION INC.,11555,2098
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,AMPLIFY EDUCATION INC,AMPLIFY EDUCATION INC.,15251,52245
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,AMTEK COMPANY INC,AMTEK COMPANY INC,21012,26750
2020,MONTGOMERY COUNTY PUBLIC SCHOOLS,ANNE ARUNDEL CO PUBLIC SCHOOL,ANNE ARUNDEL CO PUBLIC SCHOOL,21401,84980
